"index,Date,Value,Sentiment,BTC_Closing,BTC_Volume,Sentiment_Group"
"986,2020-10-14,53.0,Neutral,11429.5068359375,24103426719,Neutral"
"987,2020-10-15,56.0,Greed,11495.349609375,24487233058,Greed"
"988,2020-10-16,52.0,Neutral,11322.123046875,25635480772,Neutral"
"989,2020-10-17,56.0,Greed,11358.1015625,19130430174,Greed"
"990,2020-10-18,55.0,Greed,11483.359375,18283314340,Greed"
"991,2020-10-19,55.0,Greed,11742.037109375,23860769928,Greed"
"992,2020-10-20,56.0,Greed,11916.3349609375,30915821592,Greed"
"993,2020-10-21,61.0,Greed,12823.689453125,43414712626,Greed"
"994,2020-10-22,73.0,Greed,12965.8916015625,34729759598,Greed"
"995,2020-10-23,74.0,Greed,12931.5390625,28974975003,Greed"
"996,2020-10-24,73.0,Greed,13108.0625,24542317940,Greed"
"997,2020-10-25,76.0,Extreme Greed,13031.173828125,24406920575,Greed"
"998,2020-10-26,75.0,Greed,13075.248046875,29461458313,Greed"
"999,2020-10-27,61.0,Greed,13654.21875,33749878156,Greed"
"1000,2020-10-28,70.0,Greed,13271.28515625,35867318895,Greed"
"1001,2020-10-29,67.0,Greed,13437.8828125,56499499598,Greed"
"1002,2020-10-30,74.0,Greed,13546.5224609375,30581485201,Greed"
"1003,2020-10-31,73.0,Greed,13780.9951171875,30306464719,Greed"
"1004,2020-11-01,72.0,Greed,13737.109375,24453857900,Greed"
"1005,2020-11-02,71.0,Greed,13550.4892578125,30771455468,Greed"
"1006,2020-11-03,71.0,Greed,13950.30078125,29869951617,Greed"
"1007,2020-11-04,74.0,Greed,14133.70703125,35116364962,Greed"
"1008,2020-11-05,72.0,Greed,15579.8486328125,40856321439,Greed"
"1009,2020-11-06,90.0,Extreme Greed,15565.880859375,39837841971,Greed"
"1010,2020-11-07,88.0,Extreme Greed,14833.75390625,35024953706,Greed"
"1011,2020-11-08,82.0,Extreme Greed,15479.5673828125,26632075029,Greed"
"1012,2020-11-09,90.0,Extreme Greed,15332.3154296875,34149115566,Greed"
"1013,2020-11-10,90.0,Extreme Greed,15290.90234375,25574938143,Greed"
"1014,2020-11-11,86.0,Extreme Greed,15701.33984375,29772374934,Greed"
"1015,2020-11-12,87.0,Extreme Greed,16276.34375,34175758344,Greed"
"1016,2020-11-13,89.0,Extreme Greed,16317.80859375,31599492172,Greed"
"1017,2020-11-14,90.0,Extreme Greed,16068.138671875,27481710135,Greed"
"1018,2020-11-15,86.0,Extreme Greed,15955.587890625,23653867583,Greed"
"1019,2020-11-16,90.0,Extreme Greed,16716.111328125,31526766675,Greed"
"1020,2020-11-17,86.0,Extreme Greed,17645.40625,39006849170,Greed"
"1021,2020-11-18,91.0,Extreme Greed,17804.005859375,49064800278,Greed"
"1022,2020-11-19,94.0,Extreme Greed,17817.08984375,36985055355,Greed"
"1023,2020-11-20,86.0,Extreme Greed,18621.314453125,36992873940,Greed"
"1024,2020-11-21,91.0,Extreme Greed,18642.232421875,39650210707,Greed"
"1025,2020-11-22,94.0,Extreme Greed,18370.001953125,41280434226,Greed"
"1026,2020-11-23,90.0,Extreme Greed,18364.12109375,42741112308,Greed"
"1027,2020-11-24,88.0,Extreme Greed,19107.46484375,51469565009,Greed"
"1028,2020-11-25,94.0,Extreme Greed,18732.12109375,43710357371,Greed"
"1029,2020-11-26,93.0,Extreme Greed,17150.623046875,61396835737,Greed"
"1030,2020-11-27,86.0,Extreme Greed,17108.40234375,38886494645,Greed"
"1031,2020-11-28,87.0,Extreme Greed,17717.4140625,32601040734,Greed"
"1032,2020-11-29,89.0,Extreme Greed,18177.484375,31133957704,Greed"
"1033,2020-11-30,88.0,Extreme Greed,19625.8359375,47728480399,Greed"
"1034,2020-12-01,95.0,Extreme Greed,18802.998046875,49633658712,Greed"
"1035,2020-12-02,92.0,Extreme Greed,19201.091796875,37387697139,Greed"
"1036,2020-12-03,92.0,Extreme Greed,19445.3984375,31930317405,Greed"
"1037,2020-12-04,92.0,Extreme Greed,18699.765625,33872388058,Greed"
"1038,2020-12-05,93.0,Extreme Greed,19154.23046875,27242455064,Greed"
"1039,2020-12-06,95.0,Extreme Greed,19345.12109375,25293775714,Greed"
"1040,2020-12-07,94.0,Extreme Greed,19191.630859375,26896357742,Greed"
"1041,2020-12-08,95.0,Extreme Greed,18321.14453125,31692288756,Greed"
"1042,2020-12-09,86.0,Extreme Greed,18553.916015625,34420373071,Greed"
"1043,2020-12-10,94.0,Extreme Greed,18264.9921875,25547132265,Greed"
"1044,2020-12-11,89.0,Extreme Greed,18058.904296875,27919640985,Greed"
"1045,2020-12-12,90.0,Extreme Greed,18803.65625,21752580802,Greed"
"1046,2020-12-13,91.0,Extreme Greed,19142.3828125,25450468637,Greed"
"1047,2020-12-14,95.0,Extreme Greed,19246.64453125,22473997681,Greed"
"1048,2020-12-15,91.0,Extreme Greed,19417.076171875,26741982541,Greed"
"1049,2020-12-16,92.0,Extreme Greed,21310.59765625,44409011479,Greed"
"1050,2020-12-17,92.0,Extreme Greed,22805.162109375,71378606374,Greed"
"1051,2020-12-18,95.0,Extreme Greed,23137.9609375,40387896275,Greed"
"1052,2020-12-19,93.0,Extreme Greed,23869.83203125,38487546580,Greed"
"1053,2020-12-20,92.0,Extreme Greed,23477.294921875,37844228422,Greed"
"1054,2020-12-21,92.0,Extreme Greed,22803.08203125,45852713981,Greed"
"1055,2020-12-22,88.0,Extreme Greed,23783.029296875,44171632681,Greed"
"1056,2020-12-23,93.0,Extreme Greed,23241.345703125,51146161904,Greed"
"1057,2020-12-24,86.0,Extreme Greed,23735.94921875,41080759713,Greed"
"1058,2020-12-25,94.0,Extreme Greed,24664.791015625,42068395846,Greed"
"1059,2020-12-26,93.0,Extreme Greed,26437.037109375,48332647295,Greed"
"1060,2020-12-27,91.0,Extreme Greed,26272.294921875,66479895605,Greed"
"1061,2020-12-28,92.0,Extreme Greed,27084.80859375,49056742893,Greed"
"1062,2020-12-29,91.0,Extreme Greed,27362.4375,45265946774,Greed"
"1063,2020-12-30,91.0,Extreme Greed,28840.953125,51287442704,Greed"
"1064,2020-12-31,95.0,Extreme Greed,29001.720703125,46754964848,Greed"
"1065,2021-01-01,94.0,Extreme Greed,29374.15234375,40730301359,Greed"
